course,topic_id,topic,first_session,last_session,lecture_ns,taught_in_published_term,grounding
18.06,T00,Off-list (not in topic list),,,,false,Scoring bucket for exam points on material outside T01-T15 (e.g. topics of other terms' syllabi). Never predicted; its points stay in the scoring denominator. Has no sessions.
18.06,T01,"Geometry of linear equations, elimination, matrix operations and inverses",1,3,1;2;3,true,"SES 1-3 titles ('The geometry of linear equations', 'Elimination with matrices', 'Matrix operations and inverses'); 4th ed. 1.1-2.5; syllabus goal 'Solving Ax = b for square systems by elimination (pivots, multipliers, back substitution, invertibility of A ...)'. Keeps 'Matrix operations' (verifier issue 3)."
18.06,T02,"LU and LDU factorization, transposes and permutations, rectangular PA = LU and Ax = b",4,8,4;5;8,true,"SES 4, 5, 8 titles ('LU and LDU factorization', 'Transposes and permutations', 'Rectangular PA = LU and Ax = b'); 4th ed. 2.6, 2.7, 3.3-3.4 (SES 8; SES 9 in T04 has the same 3.3-3.4 reading); syllabus goal 'factorization into A = LU'. PA = LU kept in one topic with LU (verifier issue 4). TAGGING RULE (SES 8 and SES 9 share a reading, so the split follows their calendar titles): the complete solution of Ax = b and rectangular PA = LU -> T02; row reduced echelon form R and the rank read from it -> T04. NON-CONTIGUOUS: SES 6-7 belong to T03; lecture_ns is authoritative, never the 4-8 range."
18.06,T03,"Vector spaces and subspaces, the nullspace: solving Ax = 0",6,7,6;7,true,"SES 6-7 titles ('Vector spaces and subspaces', 'The nullspace: Solving Ax = 0'); 4th ed. 3.1-3.2; syllabus goal 'nullspace of A and special solutions to Ax = 0'."
18.06,T04,"Row reduced echelon form, basis and dimension, the four fundamental subspaces",9,11,9;10;11,true,"SES 9-11 titles ('Row reduced echelon form', 'Basis and dimension', 'The four fundamental subspaces'); 4th ed. 3.3-3.4 (SES 9, the same reading as SES 8 in T02), 3.5 (SES 10), 3.6 (SES 11); syllabus goals 'Complete solution to Ax = b (column space containing b, rank of A, nullspace of A and special solutions to Ax = 0 from row reduced R)' (spans T02-T04) and 'Basis and dimension (bases for the four fundamental subspaces)'. TAGGING RULE (as in T02): row reduced echelon form R and the rank read from it -> T04; the complete solution of Ax = b and rectangular PA = LU -> T02. SES 10-11 lie outside Exam 1's stated window."
18.06,T05,Graphs and networks,13,13,13,true,"SES 13 title; 4th ed. 8.2 (5th ed. 3.5, 10.1); syllabus goal 'Linear algebra in engineering (graphs and networks, ...)'. Kept single: a distinct application listed separately in the syllabus Goals."
18.06,T06,"Orthogonality, projections, least squares approximations, Gram-Schmidt and A = QR",14,17,14;15;16;17,true,"SES 14-17 titles ('Orthogonality', 'Projections and subspaces', 'Least squares approximations', 'Gram-Schmidt and A = QR'); 4th ed. 4.1-4.4; syllabus goals 'Least squares solutions (closest line by understanding projections)' and 'Orthogonalization by Gram-Schmidt (factorization into A = QR)'. Gram-Schmidt merged into orthogonality (verifier issue 2)."
18.06,T07,"Determinants: properties, formulas and applications",18,20,18;19;20,true,"SES 18-20 titles ('Properties of determinants', 'Formulas for determinants', 'Applications of determinants'); 4th ed. 5.1-5.3; syllabus goal 'Properties of determinants (leading to the cofactor formula ...)'."
18.06,T08,"Eigenvalues and eigenvectors, diagonalization, Markov matrices",21,23,21;22;23,true,"SES 21-23 titles ('Eigenvalues and eigenvectors', 'Diagonalization', 'Markov matrices'); 4th ed. 6.1, 6.2, 8.3; syllabus goal 'Eigenvalues and eigenvectors (diagonalizing A, computing powers A^k ...)'. Markov merged into eigenvalues (verifier issue 2); SES 23 lies outside Exam 2's stated window."
18.06,T09,Differential equations,26,26,26,true,"SES 26 title (verbatim; no 'du/dt = Au' added, verifier issue 3); 4th ed. 6.3; syllabus goal '... matrix exponentials to solve difference and differential equations'."
18.06,T10,"Symmetric matrices, positive definite matrices, matrices in engineering",27,29,27;28;29,true,"SES 27-29 titles ('Symmetric matrices', 'Positive definite matrices', 'Matrices in engineering'); 4th ed. 6.4, 6.5, 8.1; syllabus goal 'Symmetric matrices and positive definite matrices (real eigenvalues and orthogonal eigenvectors, tests for x'Ax > 0, applications)'. Contiguous merge in place of the verifier's non-contiguous graphs+engineering suggestion."
18.06,T11,Similar matrices and the singular value decomposition,30,31,30;31,true,"SES 30-31 titles ('Similar matrices', 'Singular value decomposition'); 4th ed. 6.6-6.7; merged (verifier issue 2); syllabus goal ties the SVD to 'orthonormal bases that diagonalize A'."
18.06,T12,"Fourier series, FFT, complex matrices",32,32,32,true,"SES 32 title (verbatim); 4th ed. 8.5, 10.2-10.3 (the 10.2-10.3 part lies outside Exam 3's 'Chapters 1-8'); syllabus goal 'Fourier matrix, Fast Fourier Transform'."
18.06,T13,Linear transformations and choice of basis,33,34,33;34,true,"SES 33-34 titles ('Linear transformations', 'Choice of basis' - calendar wording, not the 1999 video's 'Change of basis', verifier issue 3); 4th ed. 7.1-7.3; syllabus goal 'Linear transformations and change of basis'."
18.06,T14,Linear programming,35,35,35,true,SES 35 title; 4th ed. 8.4; syllabus goal lists 'linear programming'. Taught before Exam 3 but outside its stated window.
18.06,T15,Numerical linear algebra and computational science,38,39,38;39,true,"SES 38-39 titles ('Numerical linear algebra', 'Computational science'); 4th ed. 9.1-9.3; SES 39 reading 'See the Web site for 18.085'. Taught after Exam 3, before the Final."
